"","t","x","y"
"1",1,1,1
"2",2,5,5
"3",3,1.92307692307692,9.61538461538461
"4",4,4.09319899244332,9.89299734076231
"5",5,2.30547195123782,9.89885851352672
"6",6,3.65067078814063,9.89897704139062
"7",7,2.54803488471622,9.89897943618396
"8",8,3.40078889968051,9.89897948456863
"9",9,2.70647837268424,9.8989794855462
"10",10,3.25101523848678,9.89897948556595
"11",11,2.81008480846454,9.89897948556635
"12",12,3.15861361632927,9.89897948556636
"13",13,2.87752542887805,9.89897948556636
"14",14,3.10073072590225,9.89897948556636
"15",15,2.92121311418112,9.89897948556636
"16",16,3.06416047211574,9.89897948556636
"17",17,2.94940519219353,9.89897948556636
"18",18,3.04094023380606,9.89897948556636
"19",19,2.96754758711247,9.89897948556636
"20",20,3.02615245445991,9.89897948556636
"21",21,2.9792006462347,9.89897948556636
"22",22,3.01671760508091,9.89897948556636
"23",23,2.9866760911218,9.89897948556636
"24",24,3.01069114807159,9.89897948556636
"25",25,2.99146762142787,9.89897948556636
"26",26,3.00683902451107,9.89897948556636
"27",27,2.99453719043815,9.89897948556636
"28",28,3.00437562382493,9.89897948556636
"29",29,2.99650294488899,9.89897948556636
"30",30,3.0027998465771,9.89897948556636
"31",31,2.99776153316905,9.89897948556636
"32",32,3.00179167571087,9.89897948556636
"33",33,2.99856723708859,9.89897948556636
"34",34,3.0011465799172,9.89897948556636
"35",35,2.99908297266022,9.89897948556636
"36",36,3.00073377326246,9.89897948556636
"37",37,2.99941307829515,9.89897948556636
"38",38,3.00046959937542,9.89897948556636
"39",39,2.99962436019101,9.89897948556636
"40",40,3.00030053724763,9.89897948556636
"41",41,2.99975958645921,9.89897948556636
"42",42,3.00019234123678,9.89897948556636
"43",43,2.99984613366951,9.89897948556636
"44",44,3.00012309732597,9.89897948556636
"45",45,2.9999015248667,9.89897948556636
"46",46,3.00007878185219,9.89897948556636
"47",47,2.99993697563542,9.89897948556636
"48",48,3.00005042020664,9.89897948556636
"49",49,2.99995966429228,9.89897948556636
"50",50,3.00003226885903,9.89897948556636
"51",51,2.9999741851002,9.89897948556636
"52",52,3.00002065203979,9.89897948556636
"53",53,2.99998347844494,9.89897948556636
"54",54,3.00001321729318,9.89897948556636
"55",55,2.9999894261969,9.89897948556636
"56",56,3.00000845906261,9.89897948556636
"57",57,2.9999932327628,9.89897948556636
"58",58,3.00000541379801,9.89897948556636
"59",59,2.99999566896687,9.89897948556636
"60",60,3.00000346482988,9.89897948556636
"61",61,2.99999722813826,9.89897948556636
"62",62,3.00000221749078,9.89897948556636
"63",63,2.99999822600826,9.89897948556636
"64",64,3.00000141919396,9.89897948556636
"65",65,2.9999988646452,9.89897948556636
"66",66,3.00000090828407,9.89897948556636
"67",67,2.99999927337289,9.89897948556636
"68",68,3.00000058130178,9.89897948556636
"69",69,2.99999953495864,9.89897948556636
"70",70,3.00000037203313,9.89897948556636
"71",71,2.99999970237352,9.89897948556636
"72",72,3.0000002381012,9.89897948556636
"73",73,2.99999980951905,9.89897948556636
"74",74,3.00000015238477,9.89897948556636
"75",75,2.99999987809219,9.89897948556636
"76",76,3.00000009752625,9.89897948556636
"77",77,2.999999921979,9.89897948556636
"78",78,3.0000000624168,9.89897948556636
"79",79,2.99999995006656,9.89897948556636
"80",80,3.00000003994675,9.89897948556636
"81",81,2.9999999680426,9.89897948556636
"82",82,3.00000002556592,9.89897948556636
"83",83,2.99999997954726,9.89897948556636
"84",84,3.00000001636219,9.89897948556636
"85",85,2.99999998691025,9.89897948556636
"86",86,3.0000000104718,9.89897948556636
"87",87,2.99999999162256,9.89897948556636
"88",88,3.00000000670195,9.89897948556636
"89",89,2.99999999463844,9.89897948556636
"90",90,3.00000000428925,9.89897948556636
"91",91,2.9999999965686,9.89897948556636
"92",92,3.00000000274512,9.89897948556636
"93",93,2.9999999978039,9.89897948556636
"94",94,3.00000000175688,9.89897948556636
"95",95,2.9999999985945,9.89897948556636
"96",96,3.0000000011244,9.89897948556636
"97",97,2.99999999910048,9.89897948556636
"98",98,3.00000000071962,9.89897948556636
"99",99,2.99999999942431,9.89897948556636
"100",100,3.00000000046055,9.89897948556636
