"","year","ut","st","ut/st"
"1",1,50,20,2.5
"2",2,66,23,2.8695652173913
"3",3,84.4,27.3,3.09157509157509
"4",4,106.26,33.01,3.21902453801878
"5",5,132.644,40.335,3.2885583240362
"6",6,164.7146,49.5659,3.32314353214609
"7",7,203.80904,61.08077,3.33671366618332
"8",8,251.508906,75.353597,3.33771599516344
"9",9,309.7116124,92.9691279,3.33133825599756
"10",10,380.70957906,114.64337635,3.32081617953849
"11",11,467.281997504,141.249996621,3.30819121191064
"12",12,572.8037943746,173.8531967093,3.29475560539957
"13",13,701.37661164644,213.74825647583,3.28132085477736
"14",14,857.987206957626,262.511091992891,3.26838458689152
"15",15,1048.69957825475,322.058703489365,3.25623734708162
"16",16,1280.88832391864,394.722790965904,3.2450325981539
"17",17,1563.52228249268,483.339344261178,3.23483345822519
"18",18,1907.50939850459,591.357638084328,3.22564430669039
"19",19,2326.11609673846,722.972814126355,3.21743231735395
"20",20,2835.47730119097,883.287142387565,3.21014216682306
"21",21,3455.21671345944,1078.50615826791,3.20370605858066
"22",22,4209.2012003814,1316.17721378706,3.19805050284239
"23",23,5126.45829413032,1605.47961244649,3.19310083690096
"24",24,6242.29207716378,1957.57748061488,3.18878416766578
"25",25,7599.64035006228,2386.04894026977,3.18503121281455
"26",26,9250.72525532582,2907.40808124902,3.18177737586521
"27",27,11259.0608110423,3541.7397986567,3.17896329236624
"28",28,13701.8945285947,4313.47189989525,3.17653501554686
"29",29,16673.1769756305,5252.3141627652,3.17444396106963
"30",30,20287.1734408327,6394.40044405173,3.17264669586097
"31",31,24682.8565408011,7783.67774372983,3.17110463118601
"32",32,30029.2486304508,9473.59562343696,3.1697836623046
"33",33,36531.9193908427,11529.1609241383,3.16865378419315
"34",34,44440.8883758968,14029.4367708088,3.16768870353837
"35",35,54060.2363091159,17070.5819313176,3.16686546051118
"36",36,65759.7946095219,20769.5473690974,3.16616406900444
"37",37,79989.3625176671,25268.5720931399,3.16556718056037
"38",38,97295.9983590403,30740.6511355926,3.16505977475499
"39",39,118345.049658729,37396.1858579374,3.16462887708133
"40",40,143945.730550793,45491.0722380165,3.16426330418519
"41",41,175082.22973373,55336.5380692942,3.16395343551284
"42",42,212951.544829652,67311.1072357378,3.16369100992278
"43",43,259009.497582424,81875.1509951292,3.16346894551477
"44",44,315026.698819311,99588.5856538587,3.16328118077963
"45",45,383156.614591239,121132.396970404,3.16312253512869
"46",46,466018.350102519,147334.818732487,3.16298858689105
"47",47,566797.333824754,179203.171869491,3.16287556694331
"48",48,689367.772311769,217962.588065017,3.16278026624521
"49",49,838441.583145609,265103.106489692,3.16269995568011
"50",50,1019749.53132074,322436.954155284,3.16263231673388
"51",51,1240261.53234395,392168.21187183,3.16257538168162
"52",52,1508454.59098139,476977.543919042,3.16252748208502
"53",53,1834638.67580229,580125.248625276,3.16248720453012
"54",54,2231353.05684734,705576.591342977,3.16245335265479
"55",55,2713848.34250558,858154.237893413,3.16242491462549
"56",56,3300672.74614844,1043723.64835463,3.16240103532363
"57",57,4014385.11988822,1269418.55813401,3.16238099259333
"58",58,4882422.16603341,1543915.21430943,3.16236417698445
"59",59,5938153.1637395,1877765.90948183,3.16235007449791
"60",60,7222162.75684738,2283804.6349076,3.16233825190551
"61",61,8783811.11607024,2777640.44710158,3.16232834427365
"62",62,10683131.4515648,3378257.51399844,3.16232004437117
"63",63,12993137.8204068,4108744.90775508,3.16231309368532
"64",64,15802631.9461212,4997184.19902025,3.16230727480877
"65",65,19219616.9505293,6077728.97373034,3.16230240499402
"66",66,23375449.2292067,7391917.77141023,3.1622983307006
"67",67,28429888.0776963,8990270.91718988,3.16229492298578
"68",68,34577237.1871165,10934232.6332405,3.16229207361112
"69",69,42053814.1016454,13298533.0886281,3.16228969175605
"70",70,51147034.780109,16174061.1899298,3.1622877012456
"71",71,62206462.4920279,19671358.5489478,3.16228603821343
"72",72,75657245.7917729,23924868.9432558,3.16228464913284
"73",73,92016462.1558513,29098106.6281075,3.16228348915897
"74",74,111912995.568374,35389942.1808819,3.16228252073355
"75",75,136111712.192418,43042247.519631,3.16228171241149
"76",76,165542863.492807,52349193.9869098,3.16228103787429
"77",77,201337847.130436,63668560.9374995,3.16228047510105
"78",78,244872700.354892,77435489.5567932,3.16228000567229
"79",79,297820997.876196,94179210.6366031,3.16227961418533
"80",80,362218187.72518,114543389.360562,3.16227928776388
"81",81,440539838.313224,139310869.197024,3.1622790156465
"82",82,535796804.678926,169433766.108644,3.16227878884167
"83",83,651650972.319678,206070069.965672,3.16227859983855
"84",84,792556028.053382,250628160.201073,3.16227844236471
"85",85,963928669.449117,304820946.986304,3.16227831118321
"86",86,1172356834.49051,370731719.232585,3.16227820192264
"87",87,1425852956.27404,450894230.758378,3.16227811093489
"88",88,1734161978.40502,548390103.309944,3.16227803517615
"89",89,2109135971.87446,666967290.819451,3.16227797210734
"90",90,2565189754.50646,811184158.924952,3.16227791961084
"91",91,3119855027.98077,986584718.483104,3.1622778759209
"92",92,3794454334.6658,1199911749.43287,3.16227783956547
"93",93,4614920742.63209,1459366007.95616,3.16227780931753
"94",94,5612794769.32504,1774921481.42376,3.16227778415456
"95",95,6826436867.81629,2158708810.21388,3.16227776322455
"96",96,8302502086.24855,2625481615.97413,3.16227774581773
"97",97,10097733589.5978,3193183663.00157,3.1622777313429
"98",98,12281143990.6396,3883638655.66119,3.16227771930773
"99",99,14936668345.2368,4723389189.15904,3.16227770930225
"100",100,18166390798.8722,5744717104.76682,3.16227770098517
